изменение: изменения 
мастер: мастеров мастер 
фотограф: фотограф 
медиафайл: медиафайлы 
словарь: словарь 
наленчуть: наленчув 
условие: условия 
лев: льва лев львов 
советский: советский советская 
москва: москва 
фшр: фшр 
энциклопедия: энциклопедии энциклопедия 
заслужить: заслуженный 
посвятить: посвященного 
ретро: ретро 
май: мая 
международный: международный международных 
чемпионат: чемпионата чемпионатов чемпионатах 
некоммерческий: некоммерческой 
командный: командных 
видео: видео 
победитель: победитель 
сочи: сочи 
лицензия: лицензии 
актуальный: актуальный 
гроссмейстер: гроссмейстер 
карпов: карпов 
база: базе 
турнир: турнир турнира 
эло: эло 
гастингс: гастингс 
ссылка: ссылки 
никуда: никуда 
црква: црква 
январь: январь 
видеоканал: видеоканале 
суханицкий: суханицкого 
карьера: карьера 
материал: материал 
двукратный: двукратный 
атаковать: атакующего 
социалистический: социалистической 
обращение: обращения 
шахматный: шахматное шахматных шахматная 
зональный: зональный 
деть: денешь 
сараево: сараево 
октябрьский: октябрьской 
спорт: спорта 
ссср: ссср 
рейтинг: рейтинга рейтинг 
проживать: проживает 
результат: результаты 
год: года 
тренер: тренер 
зарегистрировать: зарегистрированный 
соревнование: соревнований соревнованиях 
страница: страница 
последний: последний 
израиль: израиль израиле 
фиде: фиде 
источник: источники источник 
случай: случаях 
архивировать: архивировано 
дополнительный: дополнительные 
амбиция: амбиции 
состав: составе 
атар: атаров 
знак: знак 
геннадий: геннадий 
ереван: ереван 
другой: других 
мочь: могут 
полгарин: полгар 
сирак: сирак 
смерть: смертью 
действовать: действовать 
великий: великой 
рсфср: рсфср 
европа: европы 
рождение: рождения 
таллин: таллин 
стиль: стиля 
псахиса: псахиса 
труун: труун 
страна: страны 
ласа: лас 
бел: бела 
биография: биография 
выступление: выступления 
отдельный: отдельных 
содержание: содержание 
список: списков 
вопрос: вопросы 
оригинал: оригинала 
калинин: калинин 
книга: книги 
википедия: википедии 
лука: лука 
гл: гл 
викисклад: викискладе 
дортмунд: дортмунд 
сентябрь: сентября 
быть: е 
родиться: род 
экз: экз 
свободный: свободной 
примечание: примечания 
максимальный: максимальный 
олимпиада: олимпиадах 
сьенфуэгос: сьенфуэгос 
л: л 
баня: баня 
титковы: титков 
участник: участник участников 
схватка: схватка 
энциклопедический: энциклопедический 
молодой: молодых 
изобретательный: изобретательный 
партия: партии 
организация: организации 
юрмала: юрмала 
ред: ред 
доступный: доступен 
революция: революции 
м: м 
израильский: израильский 
пальмас: пальмас 
еврейский: еврейская 
молодёжный: молодёжных 
мир: мира 
отвечать: отвечает 
летие: летию 
ноябрь: ноября 
личный: личная 
всесоюзный: всесоюзного 
обозрение: обозрение 
станислав: станислава 
команда: команды 
межзональный: межзональный 
бердичевский: бердичевский 
борисович: борисович 
карточка: карточка 
сайт: сайте 
первенство: первенство 
литература: литература 
отредактировать: отредактирована 
минск: минск 
темпотурнир: темпотурнира 
звание: звание 
место: места место 
шахматы: шахматы 
дата: дата 
псахисом: псахисом 
товарный: товарный 
чемпион: чемпион 
англ: англ 
хороший: лучшие 
беседа: беседа 
этот: эта 
текст: текст 
шахматист: шахматист 
псахис: псахис 
интервью: интервью 
