линия: линия линий линии 
рондель: рондель 
продление: продления 
медиафайл: медиафайлы 
условие: условия 
энциклопедия: энциклопедии 
форма: форма 
станция: станциями станции станция 
платформа: платформы платформ платформа 
поезд: поездами поезда 
гейтвеять: гейтвей 
некоммерческий: некоммерческой 
тарифный: тарифная тарифной 
соседний: соседние 
лицензия: лицензии 
следующий: следующая 
тип: тип 
береговой: береговая 
упоминание: упоминание 
материал: материал 
холмс: холмсе 
переход: переходы 
находиться: находится 
округ: округ 
количество: количество 
год: года 
два: двух две 
зарегистрировать: зарегистрированный 
страница: страница 
последний: последний 
хаммерсмит: хаммерсмита 
обслуживаться: обслуживаются 
хилла: хилл 
зона: зоне зона 
история: история историй 
первый: первой 
один: одной 
случай: случаях 
дополнительный: дополнительные 
кольцевой: кольцевая кольцевой 
знак: знак 
мочь: могут 
действовать: действовать 
метрополитен: метрополитен 
относиться: относится 
иллюстрация: иллюстрации 
время: время 
отдельный: отдельных 
содержание: содержание 
мировой: мировой 
упоминаться: упоминается 
шерлок: шерлоке 
рассчитать: рассчитана 
википедия: википедии 
викисклад: викискладе 
лондонский: лондонский лондонского 
эджвера: эджвер 
тауэр: тауэр 
свободный: свободной 
примечание: примечания 
война: войны 
стрит: стрит 
колясочник: колясочников 
июль: июля 
предыдущий: предыдущая 
роуд: роуд 
останавливаться: останавливаются 
организация: организации 
сити: сити 
ливерпуль: ливерпуль 
такой: таких 
островной: островная 
город: города 
доступный: доступен 
весь: всей 
открытие: открытия 
изогнутый: изогнутая 
разрушить: разрушена 
ноябрь: ноября 
являться: является 
называть: называемом 
конечный: конечной 
олдгейт: олдгейт 
отредактировать: отредактирована 
фенчерч: фенчерч 
район: районе 
сторона: сторону 
дата: дата 
товарный: товарный 
литература: литературе 
англ: англ 
этот: эта 
открыть: открыла 
инвалид: инвалидов 
текст: текст 
метро: метро 
источник: источник 
второй: второй 
