находка: находок находки 
медиафайл: медиафайлы 
ноябрь: ноября 
затем: затем 
манчестер: манчестера манчестер 
женатый: женаты 
английский: английском 
год: год года году годом лет 
великобритания: великобритании великобритания 
указывать: указывающие указывают 
условие: условия 
северо: северо 
строение: строение 
сайт: сайт 
устье: устье 
век: века 
г: г 
церковь: церковь 
франция: франция 
слово: слов 
страница: страница 
случай: случаях 
база: базы 
демография: демография 
существование: существовании 
возвышенный: возвышенной 
ф: ф 
деревянный: деревянный 
музей: музей 
архитектор: архитектора 
март: марта 
елизавета: елизаветы 
отредактировать: отредактирована 
мочь: могут 
приём: приемов 
пристанище: пристанище 
ещё: ещё 
крупный: крупный 
микролит: микролитам 
также: также 
викисклад: викискладе 
температура: температура 
перепись: переписи 
ратуша: ратуша 
средневековый: средневековый средневековом 
лицензия: лицензии 
примечание: примечания 
ссылка: ссылки 
лондон: лондона 
парк: парк 
история: истории история историю 
стокпорт: стокпорта стокпорт стокпорте 
дополнительный: дополнительные 
товарный: товарный 
мезолит: мезолита 
разрыв: разрыв 
высота: высота 
город: города город 
литература: литература 
депопуляция: депопуляции 
цифровой: цифровые 
з: з 
расположить: расположены расположен расположенный 
мировой: мировой 
стоить: стоит 
зарегистрировать: зарегистрированный 
далее: д 
туннель: туннелей 
построить: построенный 
зал: зал 
центр: центра 
часть: часть 
архивировать: архивировано 
обращение: обращения 
население: население населения 
содержание: содержание 
найти: найденным 
некоторый: некоторые 
женщина: женщин 
достопримечательность: достопримечательности 
начало: начале 
второй: второй 
судить: судить 
м: м 
военный: военной 
переводиться: переводится 
большой: большой 
человек: человека людей человек 
экспонат: экспонаты 
данные: данным 
мм: мм 
н: н 
официальный: официальный 
подземный: подземных 
лес: лесу 
безье: безье 
покрывать: покрывающие 
знак: знак 
климатограмма: климатограмма 
источник: источник 
организация: организации 
ти: ти 
южный: южнее 
местность: местности 
регион: регион 
широта: ш 
призрак: призраков 
код: код 
динамика: динамика 
изменение: изменения 
семейный: семейные 
река: рек 
отдельный: отдельных 
идти: идёт 
км: км 
графство: графстве графство 
западный: западная 
последний: последний 
возможно: возможно 
текст: текст 
время: времён 
здание: здании 
бронзовый: бронзового 
округ: округа 
хайльбронна: хайльбронн 
действовать: действовать 
он: нём 
материал: материал 
шляпа: шляп 
проверить: проверено 
идентификатор: идентификаторы 
пояс: пояс 
территория: территории 
война: войны 
возраст: возрасте 
домохозяйство: домохозяйств 
среди: среди 
так: т 
сведение: сведения 
часовой: часовой 
старший: старше 
название: название 
альфред: альфреда 
география: география 
климат: климата 
ранний: ранняя 
одинокий: одиноки 
дом: дом 
англ: англ 
это: это 
томас: томаса 
святой: святой 
декабрь: декабря 
неолит: неолита 
римский: римским римской 
поселение: поселения 
сумма: сумма 
период: периодом период 
легенда: легендам 
осадки: осадков 
приходиться: приходилось 
дата: дата 
тейм: тейм 
энциклопедия: энциклопедии 
доступный: доступен 
э: э 
ведущий: ведущий 
составить: составила 
плотность: плотность 
орудие: орудия 
происходить: происходит 
некоммерческий: некоммерческой 
этот: эта 
мужчина: мужчины 
единственный: единственный 
свидетельствовать: свидетельствовать 
гойт: гойт 
каждый: каждые 
побратим: побратимы 
тысяча: тысяч 
англия: англия 
википедия: википедии 
саксонский: саксонских 
свободный: свободной 
чел: чел 
телефонный: телефонный 
брамуэлла: брамуэлла 
апрель: апреля 
германия: германия 
северный: севернее 
замок: замок 
лестница: лестница 
проживать: проживали 
иметься: имеются 
страна: страна 
