дистанция: дистанция 
беччиа: беччиа 
визентини: визентини 
море: морей 
йохан: йохан 
й: й 
условие: условия 
энциклопедия: энциклопедии 
шоссейный: шоссейной 
эрих: эрих 
зутемёлк: зутемелк 
тирренский: тирренского 
сайт: сайт 
некоммерческий: некоммерческой 
март: марта март 
тронто: тронто 
мара: мар 
выпуск: выпуск 
дата: даты дата 
вельд: вельде 
победитель: победитель 
лицензия: лицензии 
бенедетто: бенедетто 
петито: петито 
бонтемпить: бонтемпи 
лемонд: лемонд 
положение: положение 
италия: италии италия 
ссылка: ссылки 
камерано: камерано 
материал: материал 
ван: ван 
лидер: лидер 
поццуоля: поццуоли 
мехлера: мехлер 
призёр: призёры 
одержать: одержал 
включая: включая 
пролог: пролог 
км: км 
классификация: классификации классификация 
альфредо: альфредо 
этап: этапы этап этапов 
год: года 
форио: форио 
дер: дер 
зарегистрировать: зарегистрированный 
джузеппе: джузеппе 
кассиный: кассино 
дорога: дорогам 
генеральный: генеральной генеральная 
страница: страница 
последний: последний 
случай: случаях 
дополнительный: дополнительные 
километр: километра 
анкона: анкона 
велогонка: велогонки 
знак: знак 
велогонщик: велогонщик 
мочь: могут 
состоять: состояла 
действовать: действовать 
гонщик: гонщик 
марк: марк 
побережье: побережьями 
пул: пул 
тиррено: тиррено 
прим: прим 
гонка: гонка гонки 
монтепрандон: монтепрандоне 
мадьо: мадьо 
дель: дель 
маршрут: маршрут 
время: время 
протяжённость: протяженностью 
перно: перно 
отдельный: отдельных 
скорость: скорость 
проводиться: проводилась 
шведский: шведский 
адриатический: адриатического 
гвидо: гвидо 
общий: общей 
википедия: википедии 
соревнование: соревнование 
свободный: свободной 
команда: команда 
ворра: ворре 
третий: третий 
марио: марио 
ч: ч 
организация: организации 
монтенеро: монтенеро 
бизачча: бизачча 
чинетти: чинетти 
сан: сан 
доступный: доступен 
средний: средняя 
штефан: штефан 
йоп: йоп 
реканать: реканати 
муттереть: муттер 
официальный: официальный 
престиж: престиж 
финиш: финиша 
победа: победу 
страна: страна 
отредактировать: отредактирована 
деталь: детали 
грег: грег 
ди: ди 
место: место 
адриатико: адриатико 
томми: томми 
йеспереть: йеспер 
товарный: товарный 
адри: адри 
старт: старта 
итоговый: итоговое 
длина: длина 
апрель: апреля 
англ: англ 
роберто: роберто 
этот: эта 
текст: текст 
источник: источник 
документация: документация 
многодневный: многодневной 
супер: супер 
фрозинон: фрозиноне 
второй: второй 
