таджик: таджики 
пункт: пункт 
шулмак: шулмак 
вода: водами 
горный: горных 
условие: условия 
таджикистан: таджикистана таджикистане таджикистан 
основное: основном 
автомобильный: автомобильный 
энциклопедия: энциклопедии 
катойконить: катойконим 
район: район района районе 
некоммерческий: некоммерческой 
март: марта 
малика: малики 
сельский: сельский сельской сельским сельская 
населить: населённый 
лицензия: лицензии 
доман: доман 
ррп: ррп 
община: община общины 
всё: всё 
материал: материал 
раштскома: раштском 
обращение: обращения 
орошаться: орошаются 
образ: образом 
занятый: занято 
дех: деха 
состав: состав 
км: км 
растениводство: растениводство 
год: года 
санга: санги 
зарегистрировать: зарегистрированный 
суннит: сунниты 
хозяйство: хозяйством 
код: код 
страница: страница 
последний: последний 
кухдоман: кухдоман 
население: население 
телефонный: телефонный 
история: история 
случай: случаях 
архивировать: архивировано 
дополнительный: дополнительные 
расстояние: расстояние 
земля: земли 
таджикский: таджикский 
цифровой: цифровые 
село: село села 
почтовый: почтовый 
знак: знак 
мочь: могут 
джамоат: джамоат 
входить: входит 
гарма: гарм 
индекс: индекс 
действовать: действовать 
декабрь: декабря 
реестр: реестр 
г: г 
часовой: часовой 
рахимзод: рахимзода 
место: мест 
конфессия: конфессии 
человек: человек 
язык: язык 
отдельный: отдельных 
животноводство: животноводство 
рашт: рашт 
тадж: тадж 
регион: регион 
википедия: википедии 
свободный: свободной 
примечание: примечания 
идентификатор: идентификаторы 
национальность: национальности 
дехота: дехота 
раштец: раштцы 
организация: организации 
джамоата: джамоата 
пгт: пгт 
доступный: доступен 
пояс: пояс 
центр: центра 
официальный: официальный 
название: названий 
душа: душ 
страна: страна 
литература: литература 
отредактировать: отредактирована 
главный: главным 
география: география 
дата: дата 
товарный: товарный 
раштский: раштский 
глредтнэ: глредтнэ 
источник: источников источник 
этот: эта 
текст: текст 
гармец: гармцы 
б: б 
