седлецкий: седлецкой 
польша: польши польша 
медиафайл: медиафайлы 
бяльскома: бяльском 
абсолютный: абсолютная 
условие: условия 
автомобильный: автомобильный 
левый: левом 
человек: человека 
энциклопедия: энциклопедии 
женщина: женщин женщины 
февраль: февраля 
далее: д 
составлять: составляет 
мужчина: мужчин мужчины 
бял: бяла 
так: т 
роскош: роскош 
река: реки 
март: марта 
некоммерческий: некоммерческой 
книжка: книжке 
копия: копия 
лицензия: лицензии 
демографический: демографическая 
уровень: уровнем 
материал: материал 
обращение: обращения 
данные: данным 
состояние: состоянию 
люблинский: люблинское люблинского 
высота: высота 
состав: состав 
тарычный: тарычны 
проживать: проживало 
год: года годы лет год 
зарегистрировать: зарегистрированный 
гмина: гмина гмины 
период: период 
код: код 
методология: методологии 
страница: страница 
последний: последний 
население: население 
телефонный: телефонный 
история: история 
берег: берегу 
случай: случаях 
дополнительный: дополнительные 
бяльскоподляский: бяльскоподляского 
архивный: архивная 
январь: января 
повёнок: повята 
цифровой: цифровые 
почтовый: почтовый 
трудоспособный: трудоспособный трудоспособного 
знак: знак 
пункт: пункта 
бельский: бельского 
мочь: могут 
входить: входит входила 
индекс: индекс 
действовать: действовать 
согласно: согласно 
километр: километров 
часовой: часовой 
г: г 
деревня: деревня деревне 
конец: конце 
атлас: атлас 
отдельный: отдельных 
возраст: возраст возраста 
польск: польск 
содержание: содержание 
метр: метров 
википедия: википедии 
викисклад: викискладе 
княжество: княжества 
сентябрь: сентября 
море: моря 
литовский: литовского 
свободный: свободной 
примечание: примечания 
сельский: сельская 
проходить: проходит 
уезд: уезда 
идентификатор: идентификаторы 
лето: летом 
структура: структура 
приблизительно: приблизительно 
век: века 
организация: организации 
великий: великого 
повять: повяте 
подляска: подляска 
вялый: вял 
запад: западу 
справочный: справочной 
расположить: расположена 
город: города 
доступный: доступен 
север: северу 
м: м 
старший: старше 
пояс: пояс 
клюкувка: клюкувки 
центр: центра 
широта: ш 
воеводство: воеводство воеводства 
перепись: переписи 
восток: востоке 
берестейский: берестейского 
губерния: губернии 
июнь: июня 
подляскай: подляская 
страна: страна 
отредактировать: отредактирована 
география: география 
расстояние: расстоянии 
повет: повет 
дата: дата 
беларус: беларус 
товарный: товарный 
апрель: апреля 
англ: англ 
административный: административного 
этот: эта 
текст: текст 
населить: населённого 
источник: источник 
автодорога: автодорога 
витулина: витулин 
бяльский: бяльский 
региональный: региональная 
