викидать: викиданных 
медиафайл: медиафайлы 
прямой: прямое 
условие: условия 
посвятить: посвящённых 
энциклопедия: энциклопедии 
обозначение: обозначения 
май: мая 
некоммерческий: некоммерческой 
французский: французском 
лицензия: лицензии 
новый: нового 
положение: положение 
описание: описание 
март: мартом март 
тип: тип 
эпоха: эпоха 
ссылка: ссылки 
дрейер: дрейера 
открыть: открыта 
информация: информация 
материал: материал 
размер: размеры 
зв: зв 
обращение: обращения 
год: году года 
круглый: круглой 
лучевой: лучевая 
объект: объект 
наблюдательный: наблюдательные 
каталог: каталога 
км: км 
созвездие: созвездие созвездии 
зарегистрировать: зарегистрированный 
восхождение: восхождение 
страница: страница 
последний: последний 
тусклый: тусклый 
август: августа 
дать: данные 
история: история 
случай: случаях 
архивировать: архивировано 
дополнительный: дополнительные 
английский: английском 
знак: знак 
величина: величина 
мочь: могут 
октябрь: октября 
данные: данных 
база: базах 
действовать: действовать 
другой: другие 
видимый: видимая видимые 
отдельный: отдельных 
маленький: маленький 
скорость: скорость 
исследование: исследования 
википедия: википедии 
викисклад: викискладе 
список: список 
сентябрь: сентября 
свободный: свободной 
примечание: примечания 
публикация: публикаций 
пов: пов 
очень: очень 
фотографический: фотографическая 
склонение: склонение 
ч: ч 
организация: организации 
кит: кит 
общий: общего 
доступный: доступен 
галактика: галактика 
м: м 
открытие: открытия 
альберт: альберт альбертом 
пересмотреть: пересмотренного 
характеристика: характеристики 
угловой: угловое 
открыватель: открыватель 
отредактировать: отредактирована 
линзообразный: линзообразная 
дата: дата 
товарный: товарный 
англ: англ 
этот: эта 
текст: текст 
форма: формы 
источник: источник 
яркость: яркость 
оригинальный: оригинального 
