подразделение: подразделений 
каргильский: каргильской 
армия: армии 
условие: условия условиях 
виджей: виджей 
энциклопедия: энциклопедии 
высокогорье: высокогорья 
ладакхский: ладакхские ладакхского 
полк: полк 
некоммерческий: некоммерческой 
лицензия: лицензии 
война: войне войны 
собранный: собранных 
создание: создания 
индийский: индийской 
скаут: скауты скаутах 
лёгкий: лёгкой 
материал: материал 
охрана: охрана 
пакистан: пакистаном 
создать: создан 
задача: задача 
первый: первых 
неофициальный: неофициальное 
статус: статус 
получить: получили получившим 
индия: индии 
название: название 
тигр: тигры 
конфликт: конфликте 
год: года 
зарегистрировать: зарегистрированный 
кашмирский: кашмирской 
страница: страница 
воинский: воинской 
последний: последний последним 
случай: случаях 
основный: основная 
дополнительный: дополнительные 
несколько: несколько 
таша: таши 
пехота: пехоты 
знак: знак 
полка: полка 
мочь: могут 
операция: операции 
майор: майор 
участие: участие 
действовать: действовать 
принять: принял 
пехотный: пехотного пехотный 
кашмир: кашмир 
г: г 
отдельный: отдельных 
спортсмен: спортсмены 
вскоре: вскоре 
один: одним 
лундуп: лундуп 
википедия: википедии 
туртук: туртук 
свободный: свободной 
джамму: джамму 
джамьянг: джамьянг 
июль: июля 
граница: границ 
стать: стал 
организация: организации 
намгьял: намгьял 
батальон: батальонов 
доступный: доступен 
также: также 
настоящий: настоящего 
го: го 
снежный: снежные 
хинди: хинди 
служить: служат 
кнр: кнр 
воин: воины 
июнь: июня 
отредактировать: отредактирована 
планироваться: планируется 
место: места 
слава: славы 
расширить: расширить 
товарный: товарный 
англ: англ 
сон: сонам 
этот: эта 
текст: текст 
известный: известные 
источник: источник 
вангчук: вангчук 
