расформировать: расформирован 
европейский: европейских 
армия: армии 
вица: вице 
гарантировать: гарантирующие 
условие: условия 
ого: ого 
циркулировать: циркулирует 
энциклопедия: энциклопедии 
форма: форма 
клуб: клуб клуба клубом 
выступление: выступление выступлений 
финансовый: финансовом 
область: области 
пловдивский: пловдивской 
сайт: сайт 
болгарский: болгарская болгарский болгарской 
панерис: панерис 
некоммерческий: некоммерческой 
футбольный: футбольный 
другой: другим 
победитель: победитель 
лицензия: лицензии 
турнир: турнир 
резервный: резервная 
стадион: стадион 
ссылка: ссылки 
всё: всё 
материал: материал 
выиграть: выиграл 
лига: лигой 
играть: играл играет 
достижение: достижения 
год: году года годы 
восток: восток 
советский: советской 
кубок: кубка кубке кубков кубок 
ираклис: ираклис 
раунд: раунд 
финалист: финалист 
название: названием название 
тренер: тренер 
зарегистрировать: зарегистрированный 
ярмарка: ярмарок 
чемпион: чемпионов чемпионом чемпион 
история: истории история 
страница: страница 
последний: последний 
дяк: дяков 
август: августа 
случай: случаях 
основный: основная 
дополнительный: дополнительные 
пора: пор 
полный: полное 
гостевой: гостевая 
тот: тех 
болгария: болгарии 
знак: знак 
мочь: могут 
октябрь: октября 
имя: имени 
кса: кса 
действовать: действовать 
фк: фк 
георгиев: георгиев 
страна: стран страна 
г: г 
еврокубок: еврокубках 
сливаться: сливается 
время: время 
манола: манол 
отдельный: отдельных 
содержание: содержание 
самый: самыми 
пловдив: пловдив 
група: група 
википедия: википедии 
форвертс: форвертс 
соревнование: соревнование 
быть: е 
главный: главный 
партизань: партизани 
вильнюс: вильнюс 
группа: группе 
свободный: свободной 
франкфурт: франкфурт 
команда: команда 
второе: второе 
стать: стал 
век: века 
псв: псв 
штайра: штайр 
организация: организации 
основать: основан 
болга: болг 
вместимость: вместимость 
балканский: балканских 
христо: христо 
стабильный: стабильным 
отношение: отношении 
город: города 
доступный: доступен 
интертоть: интертото 
гр: гр 
благополучный: благополучными 
кризис: кризисом 
дий: диев 
официальный: официальный 
ноябрь: ноября 
значительно: значительно 
айнтрахт: айнтрахт 
отредактировать: отредактирована 
бенфик: бенфика 
связь: связи 
тодора: тодор 
сезон: сезон сезоне 
место: место 
спартак: спартак 
товарный: товарный 
занять: занял 
юго: юго 
который: который 
этот: эта 
сокол: сокол 
текст: текст 
источник: источник 
результат: результат 
шестой: шестое 
президент: президент 
